rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,country
1,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,2,47,3158525,,AU
2,spotify:track:06qMRF18gwbOYYbnP2du6i,Wham!,Last Christmas - Single Version,Sony Music CG,2,4,39,2937866,,AU
3,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,3,5,33,2838181,,AU
4,spotify:track:1rv46mRwDqMEhOBZ7vODg3,Michael Bublé,It's Beginning to Look a Lot like Christmas,Reprise,3,7,37,2355368,,AU
5,spotify:track:0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,Santa Tell Me,Universal Records,3,6,37,2340773,,AU
6,spotify:track:6TkXViJUO3SA6FMcrNwlD9,Bobby Helms,Jingle Bell Rock,Universal Digital Enterprises,6,13,27,2101183,,AU
7,spotify:track:4xhsWYTOGcal8zt0J161CU,Jack Harlow,Lovin On Me,Generation Now/Atlantic,1,1,7,2086290,,AU
8,spotify:track:1IcR6RlgvDczfvoWJSSY2A,Andy Williams,It's the Most Wonderful Time of the Year,Columbia,8,19,31,1810856,,AU
9,spotify:track:6tjituizSxwSmBB5vtgHZE,Michael Bublé,Holly Jolly Christmas,Reprise,8,17,31,1725578,,AU
10,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,Capitol Records,10,22,17,1687761,,AU
11,spotify:track:3nAp4IvdMPPWEH9uuXFFV5,Kelly Clarkson,Underneath the Tree,RCA Records Label,11,21,23,1683818,,AU
12,spotify:track:7fUYUcWy853HS8YJn0b3Sr,The Ronettes,Sleigh Ride,Legacy Recordings,9,36,31,1520035,,AU
13,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,Monkey Puzzle/Atlantic,12,28,18,1447907,,AU
14,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,2,3,15,1444233,,AU
15,spotify:track:7xapw9Oy21WpfEcib2ErSA,Justin Bieber,Mistletoe,RBMG/Def Jam,15,27,31,1367655,,AU
16,spotify:track:4kKdvXD0ez7jp1296JmAts,"Frank Sinatra, B. Swanson Quartet",Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Columbia/Legacy,12,45,31,1356696,,AU
17,spotify:track:3qCeq0rWK67SoBDgFd2sId,José Feliciano,Feliz Navidad,RCA Records Label,9,49,17,1334285,,AU
