# 국가 BR의 스트리밍 데이터
rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,Country,Date
1,spotify:track:2InS5VWKJQbsFBKOsf1cJB,"Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",Let's Go 4,GR6 Music,1,1,14,8619775,BR,2023-12-14
2,spotify:track:00ZKeP47bZtswtANkvxz2j,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis",Baile do Bruxo,Tropa Do Bruxo,2,3,9,6167750,BR,2023-12-14
3,spotify:track:35D06z7kmwMmYYbyJ0BkSm,"Manu, Simone Mendes",Daqui pra Sempre,manuoficial,3,4,11,6163961,BR,2023-12-14
4,spotify:track:6AENBD8I0mDGglFqrRZGu7,"Gusttavo Lima, Ana Castela",Canudinho - Ao Vivo,Sony Music Entertainment,2,5,15,6044691,BR,2023-12-14
5,spotify:track:2IDf0IZ9dfw0uDYV2n1bJc,"Luan Santana, Ana Castela",DEJA VU,Sony Music Entertainment,5,-1,1,5816792,BR,2023-12-14
6,spotify:track:42JNab8NPeCADJ9D3Cl5wS,Zé Neto & Cristiano,Barulho Do Foguete - Ao Vivo,Som Livre,4,6,24,5725338,BR,2023-12-14
7,spotify:track:7DkhndGTKaqkFxxKN7XlAh,"Guilherme & Benuto, Simone Mendes",Manda um Oi - Ao Vivo,Sony Music Entertainment,5,7,31,5524903,BR,2023-12-14
8,spotify:track:2twZl1jsRbJRTNCE6VB6eW,"Chefin, Mainstreet, LB Único",10 Carros,Mainstreet Records,8,14,3,5395002,BR,2023-12-14
9,spotify:track:4f0aDk7HX37SfzerfznYlr,"Grupo Menos É Mais, Matheus Fernandes",Lapada Dela - Ao Vivo,Som Livre,4,8,42,5045726,BR,2023-12-14
10,spotify:track:7dKqPh21HpsysZvRWyNeM1,Isadora Pompeo,Bênçãos Que Não Têm Fim (Counting My Blessings),Sony Music Entertainment,10,11,5,4842999,BR,2023-12-14
11,spotify:track:3XIXklO3e0uWUAUkOR7NLI,"Luan Pereira, Mc Daniel, MC Ryan SP",DENTRO DA HILUX,Som Livre,2,9,16,4821624,BR,2023-12-14
12,spotify:track:4YKujFSyakVjLdH1sDllVc,Simone Mendes,Dois Fugitivos - Ao Vivo,Universal Music Ltda.,5,10,13,4740408,BR,2023-12-14
13,spotify:track:7GjAXYuxjuXPbQJzRnNdob,"GREGO, Paulo Pires, ÉaBest",Pane no Sistema,ÉaBest,8,12,9,4532342,BR,2023-12-14
14,spotify:track:4uqJelb9THHmJ3OCohg4ZJ,"AgroPlay, Ana Castela",Nosso Quadro,AgroPlay,1,13,45,4516377,BR,2023-12-14
15,spotify:track:1xjy8WRyYUkayJcyyWQpYe,"Ana Castela, Gustavo Mioto",Fronteira - Ao Vivo,AgroPlay,15,25,4,4281501,BR,2023-12-14
16,spotify:track:4Z2i41GDQyu3KRpBavEnyR,Ana Castela,Solteiro Forçado - Boiadeira Internacional,AgroPlay do Brasil,3,18,23,4086403,BR,2023-12-14
