rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country,date
1,spotify:track:3BFh8rR6aMexy7ELu2UQy3,"DELLAFUENTE, Morad",Manos Rotas,MAAS,1,1,5,4672197,ES,21
2,spotify:track:0qZhK4gFB5c1Wxsnd6WA8U,"Soolking, Lola Indigo, Rvfv",Casanova,Universal Music MENA Distributed Labels,2,2,2,4265386,ES,21
3,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,3,7,3,3032548,ES,21
4,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,Myke Towers,LA FALDA,WEA Latina,3,3,4,2982406,ES,21
5,spotify:track:6XbtvPmIpyCbjuT0e8cQtp,Quevedo,Columbia,Quevedo,1,5,24,2517717,ES,21
6,spotify:track:2HafqoJbgXdtjwCOvNEF14,iñigo quintero,Si No Estás,Acqustic,1,4,14,2334005,ES,21
7,spotify:track:2kz1YOhJiNubjigR1gB1VX,Rauw Alejandro,DILUVIO,Sony Music Latin/Duars Entertainment,3,8,11,2265607,ES,21
8,spotify:track:7iQXYTyuG13aoeHxGG28Nh,"Bad Bunny, Feid",PERRO NEGRO,Rimas Entertainment LLC,2,6,10,2228515,ES,21
9,spotify:track:5xSt1wxZobFcLzHrFakv6z,SAIKO,COSAS QUE NO TE DIJE,WM Spain,9,9,21,2148913,ES,21
10,spotify:track:3tPPP39TSamzLPOJomKALp,"Soge Culebra, Quevedo, GARABATTO",NO PIENSO LLAMAR,WM Spain,9,11,11,2102393,ES,21
11,spotify:track:559YUIWxUc8Mx4lsla13Ff,"Mora, YOVNGCHIMI",MODELITO,Rimas Entertainment LLC,4,10,49,2030503,ES,21
12,spotify:track:0QRHOAeU8JRaVVn3UoZBih,"Mora, SAIKO",REINA,Rimas Entertainment LLC,1,12,17,1993988,ES,21
13,spotify:track:6gMj2DzKR2PjrrbNSwcGFR,"Anuel AA, Quevedo, Maluma, Mambo Kingz, DJ Luian",OA,Hear This Music,3,13,10,1852294,ES,21
