rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country,date
1,spotify:track:1eldTykrnkEBLX41bk5eMw,"Jungeli, Imen Es, Alonzo, Abou Debeing, Lossa",Petit génie,Universal Music Distributed Labels,1,1,18,2993576,FR,2023-12-07
2,spotify:track:2PWJx5FwMrMVEaTjwYait1,"Favé, Gazo",FLASHBACK,109 Record / Morning Glory Music / Believe,2,2,12,2624988,FR,2023-12-07
3,spotify:track:5RJcEoBhxDo8QgmKfr3JG8,"Gazo, Tiakola",NOTRE DAME,BSB PROD,3,-1,1,2485778,FR,2023-12-07
4,spotify:track:0RXp3LrNZo89KjmfUJS0UO,Gazo,100K,BSB PROD,4,-1,1,2320223,FR,2023-12-07
5,spotify:track:2HafqoJbgXdtjwCOvNEF14,iñigo quintero,Si No Estás,Acqustic,1,3,11,2197752,FR,2023-12-07
6,spotify:track:2ImdwbujxKFxN1UxEvf2dD,KeBlack,LAISSE MOI,Motema records,2,4,13,2053792,FR,2023-12-07
7,spotify:track:30D9x5LFgL2o9xidjX2wtE,"Soolking, Gazo",Casanova,Universal Music MENA Distributed Labels,1,5,22,1992386,FR,2023-12-07
8,spotify:track:2BvjmY4Mp5q1AHL0laetd6,"Heuss L'enfoiré, Gazo",Saiyan,150 Prod / Straw Production,1,6,27,1732253,FR,2023-12-07
9,spotify:track:7AUMxm5ArZPHojwDbdi8Vi,"Gazo, Tiakola",CARTIER,BSB PROD,9,-1,1,1700316,FR,2023-12-07
10,spotify:track:0EzNyXyU7gHzj2TN8qYThj,SDM,Bolide allemand,92i / Capitol Music France,1,8,53,1603356,FR,2023-12-07
11,spotify:track:6UWT2WWl2vU9SWkvkXk9Ax,"Gazo, Tiakola",24/34,BSB PROD,11,-1,1,1544000,FR,2023-12-07
12,spotify:track:3oUEzTAoOxqZHN4xiqTGqJ,Yamê,Bécane - A COLORS SHOW,COLORSxSTUDIOS,12,24,3,1459670,FR,2023-12-07
13,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,6,7,12,1454198,FR,2023-12-07
14,spotify:track:4IbdvCq0V3qL67y5Fsrujr,Tiakola,200K,BSB PROD,14,-1,1,1445953,FR,2023-12-07
15,spotify:track:6yqwxY8qifBBhyryjZutxk,"Gazo, Tiakola",MAMI WATA,BSB PROD,15,-1,1,1324146,FR,2023-12-07
16,spotify:track:6UhgUbPfAIMdKif2Srt7F6,"Gazo, Tiakola",SOBAD,BSB PROD,16,-1,1,1320092,FR,2023-12-07
17,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,3,42,33,1316269,FR,2023-12-07
18,spotify:track:24JrEVHDfohup0ypuOV7os,Werenoi,Laboratoire,PLR Music / PGP Records / Allpoints,9,10,39,1312735,FR,2023-12-07
19,spotify:track:5JxFWqqJiWPDXDTmQfwas3,"Gazo, Tiakola",AFRIKANBADMAN,BSB PROD,19,-1,1,1227821,FR,2023-12-07
20,spotify:track:0cs7ugM9egZgqFfaB8kEzv,"Gazo, Tiakola, Skread",A.V.S.D,BSB PROD,20,-1,1,1215480,FR,2023-12-07
21,spotify:track:09FcXaLu1BdrRNgxyBi6p5,"Dave, Tiakola",Meridian,Dave / Neighbourhood Recordings,3,13,15,1213664,FR,2023-12-07
22,spotify:track:0B1sGCkytyAiprzmBkO7Xu,"Gazo, Tiakola, Kore",AMBITIONS,BSB PROD,22,-1,1,1206197,FR,2023-12-07
