rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country,date
1,spotify:track:06qMRF18gwbOYYbnP2du6i,Wham!,Last Christmas - Single Version,Sony Music CG,1,1,54,1344987,SE,2023-12-14
2,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,2,56,1276208,SE,2023-12-14
3,spotify:track:3qCeq0rWK67SoBDgFd2sId,José Feliciano,Feliz Navidad,RCA Records Label,3,4,42,905496,SE,2023-12-14
4,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,3,3,37,900298,SE,2023-12-14
5,spotify:track:0WeT9UnF79pGH5ohYHsnD9,Triad,Tänd ett ljus,WM Sweden,3,7,46,872920,SE,2023-12-14
6,spotify:track:1rv46mRwDqMEhOBZ7vODg3,Michael Bublé,It's Beginning to Look a Lot like Christmas,Reprise,3,6,43,871294,SE,2023-12-14
7,spotify:track:1eHMSmiTLf8aMg4E8N2cgn,Bolaget,Astronaut - Spotify Singles,WM Sweden,7,89,2,847048,SE,2023-12-14
8,spotify:track:4WfSDuJ4MrpdSSCEOanwzD,E.M.D.,Välkommen hem,Ariola,8,8,40,811291,SE,2023-12-14
9,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,Monkey Puzzle/Atlantic,9,9,32,810667,SE,2023-12-14
10,spotify:track:6TkXViJUO3SA6FMcrNwlD9,Bobby Helms,Jingle Bell Rock,Universal Digital Enterprises,5,5,37,769763,SE,2023-12-14
11,spotify:track:4cGPWeCfoQTw7i0wqNRcjI,"Tommy Körberg, Sissel",Julen är här,WM Sweden,5,11,42,754054,SE,2023-12-14
12,spotify:track:0L3RpXaOJFNhP4QCynokYG,Peg Parnevik,Bättre nu (The Wedding),WM Sweden,1,12,7,685697,SE,2023-12-14
13,spotify:track:1IcR6RlgvDczfvoWJSSY2A,Andy Williams,It's the Most Wonderful Time of the Year,Columbia,8,13,40,675713,SE,2023-12-14
14,spotify:track:3VTNVsTTu05dmTsVFrmGpK,"The Pogues, Kirsty MacColl",Fairytale of New York (feat. Kirsty MacColl),WM UK,14,14,39,670975,SE,2023-12-14
15,spotify:track:0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,Santa Tell Me,Universal Records,4,10,43,668517,SE,2023-12-14
16,spotify:track:27qAMKrDdKEs8HDXcvR24R,Chris Rea,Driving Home for Christmas - 2019 Remaster,Rhino,5,16,38,651433,SE,2023-12-14
17,spotify:track:1ikAsZ38q8AQ1l7FcOhu5g,Freddy Kalas,Hey Ho,Alter Ego Music,4,20,45,641749,SE,2023-12-14
18,spotify:track:2O5WGi5MYNRSNiT47J5QbH,Dizzy,Överallt,Universal Music AB,3,17,6,641181,SE,2023-12-14
19,spotify:track:2UuBcEjO3nYMwS6rN84qDd,Adolphson & Falk,Mer jul (Klassisk Version),Air Music,4,19,41,626978,SE,2023-12-14
20,spotify:track:4SLYrBfzgbLmiEdoKajyHL,Thomas Stenström,Ser du månen där du är ikväll? (Tillsammans igen),Korpstaden Produktion,3,18,152,594887,SE,2023-12-14
21,spotify:track:7xapw9Oy21WpfEcib2ErSA,Justin Bieber,Mistletoe,RBMG/Def Jam,8,15,44,592499,SE,2023-12-14
22,spotify:track:7hHrs2q5c5rtzHLJ2DKHTT,Zara Larsson,Memory Lane,Sommer House/Epic,22,24,3,591253,SE,2023-12-14
23,spotify:track:2u85ptzhLjdL4iHV5pNUtb,"Einár, Sara Kurt, Le Winter",Dans från dig,Einár,1,21,12,569406,SE,2023-12-14
24,spotify:track:4Yg2w0P29BBBMixyeNjDtj,Band Aid,Do They Know It's Christmas? - 1984 Version,EMI,6,23,39,547122,SE,2023-12-14
25,spotify:track:27RYrbL6S02LNVhDWVl38b,"John Lennon, Yoko Ono",Happy Xmas (War Is Over) - Remastered 2010,EMI Catalogue,11,26,39,546698,SE,2023-12-14
26,spotify:track:4kKdvXD0ez7jp1296JmAts,"Frank Sinatra, B. Swanson Quartet",Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Columbia/Legacy,12,25,40,537412,SE,2023-12-14
27,spotify:track:4so0Wek9Ig1p6CRCHuINwW,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas - 1947 Version,Geffen,8,28,39,530682,SE,2023-12-14
28,spotify:track:2ovn0uhOcqZOaOFbJiAh2d,B.Baby,Hjärta,Poetic Pain Records,1,22,8,527054,SE,2023-12-14
29,spotify:track:3GygspQIcYy5OnRiw245Qh,Babblarna,Babblarnas vaggvisa,Universal Music AB Distributed Labels,5,31,259,523408,SE,2023-12-14
30,spotify:track:0j2JcSeuF8ElJTrC8g6493,"Humlan Djojj, Josefine Götestam",Djurens vaggvisa,Filtr Kids,9,33,116,522097,SE,2023-12-14
31,spotify:track:3eusN83SiYVrSA3hG4drFy,Peter Jöback,Jag kommer hem igen till jul,Sony Music Local,20,27,37,518072,SE,2023-12-14
32,spotify:track:3bH2Eu9A9ymI4UnGHRmoXg,"Ed Sheeran, Elton John",Merry Christmas,Atlantic Records UK,3,34,13,512433,SE,2023-12-14
