rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,spotify:track:4qYfRfSxsmhJ1WMaywtLyI,"Wren Evans, itsnk",Từng Quen,Universal Music Indochina,1,4,8,1119347
2,spotify:track:2N0SPREDYqILVEFSsWF5N5,V,Love Me Again,BIGHIT MUSIC,2,3,19,1118083
3,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,1,1,39,1019903
4,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,1,2,7,1001200
5,spotify:track:1bG6Q8sR8jda7ryI365y8o,"Vũ., Dear Jane",Những Lời Hứa Bỏ Quên,WM Vietnam,5,-1,1,934969
6,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,5,23,901439
7,spotify:track:3ZbZtdEw9U0uZW4tZItIwq,"RHYDER, CoolKid, BAN",Chịu Cách Mình Nói Thua,RHYDER,6,6,4,821604
8,spotify:track:6KgZf5gZgF1KLNxq1qZgHP,Phương Ly,Anh Là Ngoại Lệ Của Em,WM Vietnam,7,12,11,569745
9,spotify:track:5h1BN75CEh8wdSwE1xrbSe,V,Slow Dancing,BIGHIT MUSIC,2,7,14,540305
10,spotify:track:0kHgteR4TV4LO80wrasDSR,"Karik, GDucky",Bạn Đời,WM Vietnam,5,8,12,534490
11,spotify:track:5J3m0taZ0W1E9HTE0MwcSv,Low G,Simp Gái 808,Rap Nhà Làm,9,9,10,527772
12,spotify:track:2doGmsaPLdot51o80juiYU,"Obito, Shiki, RPT MCK",Đánh Đổi,12 trái lê,7,10,11,527174
13,spotify:track:0tGmDUHDoT8pxYhgAT3yNG,"Wren Evans, itsnk",bé ơi từ từ,Universal Music Indochina,13,-1,1,511451
14,spotify:track:4jWmhzf53Q0ZvZMuGdiR9x,"WEAN, tlinh",shhhhhhh..,WEAN,9,13,11,504570
15,spotify:track:2JuHIbFudHwDqQssgqsH3i,"Vũ Phụng Tiên, DT Tập Rap, Drum7",Lệ Lưu Ly,Big Arts Entertainment,6,11,13,504459
16,spotify:track:4exlWP8cokkWVCvyP3kg7c,"tlinh, 2pillz",nếu lúc đó,Universal Music Indochina Distributed Labels,1,16,42,479278
17,spotify:track:7jLSThU5Kg1RWt19Leiaxm,"RPT MCK, Trung Trần",Chìm Sâu,N0L4B3L,1,14,95,477972
18,spotify:track:3XCp5o1FUpAH0aj2Hmj5yz,"Wren Evans, itsnk",Call Me,Universal Music Indochina,18,59,19,437411
19,spotify:track:4acXEYw7ayyJnm9GXDrqiL,"Binz, Nomovodka",Hit Me Up (feat. Nomovodka),Spacespeakers,4,15,9,429731
20,spotify:track:25h0TqC9H3BcMA7KjK5nHK,"GREY D, tlinh",vaicaunoicokhiennguoithaydoi,M Music Records,2,19,79,420574
21,spotify:track:3YctJXK6kznnWl68TnYobN,RPT MCK,Anh Đã Ổn Hơn,N0L4B3L,3,17,42,414401
22,spotify:track:3K7RddI2L8Wiv7uIbrhfLc,"The Masked Singer, Lâm Bảo Ngọc, Hứa Kim Tuyền",Rồi Em Sẽ Gặp Một Chàng Trai Khác,THE MASKED SINGER,19,21,5,410362
23,spotify:track:0SLhB9JLM4Ksz1XdwK3aQD,"Obito, Shiki, VSTRA",Hà Nội,12 trái lê,11,18,11,408665
24,spotify:track:3ukrFH17Zl6iEZ2QJ1Zwiy,"RPT Orijinn, Ronboogz",Don't Côi,Rapital,3,26,52,403269
25,spotify:track:01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,2,20,12,400180
26,spotify:track:4CUvVaAYuXtvYURLFz7EIL,"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",Chuyện Đôi Ta (feat. Muộii),Yin Yang Media,3,24,107,392304
27,spotify:track:6VXVYATpQXEIoZ97NnWCmn,"Madihu, Vũ.",Vì Anh Đâu Có Biết,WM Vietnam,2,38,72,391205
28,spotify:track:7tFwBnuaGXqiiONukPRaCo,Minh Huy,Miên Man,LOOPS Music,11,23,16,390118
29,spotify:track:1o6cYDMHvKOfizi4d9Lqxr,W/N,id 072019,Universal Music Indochina Distributed Labels,3,25,21,388081
30,spotify:track:45Mswno1F7FoZkcmQkp7fi,Wren Evans,Thích Em Hơi Nhiều,Universal Music Indochina,1,29,131,370201
31,spotify:track:28bxbqNcAuNxYDZYet6eZ7,"RPT MCK, tlinh",Chỉ Một Đêm Nữa Thôi,N0L4B3L,9,22,42,368155
32,spotify:track:5ECHJ1llWBNYLVCYrllD3x,"Da LAB, Phương Ly",Chạy Khỏi Thế Giới Này,LOOPS Music,11,27,77,358984
33,spotify:track:3UX7FjJDl6RodnWekzFwEB,"HIEUTHUHAI, marzuz",Exit Sign,M Music Records,33,39,10,352846
34,spotify:track:0hhF4SJHEosOwZ7gbjgmbf,HIEUTHUHAI,Không Thể Say,M Music Records,7,32,35,346451
35,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,11,28,26,341305
36,spotify:track:0gzpqwLf1jhNjnSJEyweAX,"Kuun Đức Nam, Linh Thộn",Tình cờ yêu em,MaiDao Music,12,30,17,341139
37,spotify:track:08ULi904W2Po6pVj8nN7KC,"GREY D, Chillies",đưa em về nhàa,M Music Records,3,36,35,339330
38,spotify:track:4fj4Jn4nw8fGX8xdbCntJf,"CoolKid, RHYDER",Sau Cơn Mưa,MaiDao Music,34,34,16,337569
39,spotify:track:72ictTz6o0dusD2QpCn4bn,"Wxrdie, Andree Right Hand, Machiot",TETVOVEN,M Music Records,39,50,3,337390
40,spotify:track:2kauMp3YNHXULGXyJh4321,"Wren Evans, itsnk",Phóng Đổ Tim Em,Universal Music Indochina,40,-1,1,336840
41,spotify:track:5T6j0rfpCDBzAxC8Fpd0N7,"Low G, Thắng",An Thần,Rap Nhà Làm,2,31,113,335380
42,spotify:track:6Hs2xIgB8nzyGFDvVA8lFa,"Madihu, Low G",Có Em,NGUYEN CHI PHONG,4,35,87,321493
43,spotify:track:5BTzf3doGTigDIYUFtbkI9,"Emcee L (Da LAB), Da LAB, Badbies",Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),Yin Yang Media,5,43,156,317967
44,spotify:track:1sEOTXdVl8X7SzuJi0P1cq,"Dept, Ashley Alisha",Van Gogh (feat. Ashley Alisha),WM Korea,41,41,3,316847
45,spotify:track:2ctmaWoBxLBYiZB7AKmK1D,Low G,Bảo Tàng,Nhà Hóa Học Đống Đa,33,33,3,310711
46,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,Mitski,My Love Mine All Mine,Dead Oceans,30,40,11,306356
47,spotify:track:4qJSUFwZFouto5VZUlln75,"tlinh, Trung Trần",Thích Quá Rùi Nà,Universal Music Indochina Distributed Labels,34,46,170,306344
48,spotify:track:7bFFUPBiF15n8m8RziqS4o,GREY D,dự báo thời tiết hôm nay mưa,M Music Records,7,42,57,300627
49,spotify:track:4X2vrRE8Pi5hBMbWRjofAU,HIEUTHUHAI,NOLOVENOLIFE,M Music Records,24,48,10,297176
