Country,Month,streams
AU,2023-06,246419880
AU,2023-07,348662736
AU,2023-08,462570112
AU,2023-09,387026227
AU,2023-10,377881824
AU,2023-11,495877353
AU,2023-12,459882476
AU,2024-01,399378648
AU,2024-02,574905832
AU,2024-03,466239036
AU,2024-04,495349205
AU,2024-05,678751536
AU,2024-06,527261334
AU,2024-07,493401522
AU,2024-08,615944305
AU,2024-09,495660559
AU,2024-10,602719352
AU,2024-11,474242852
AU,2024-12,241744236
BR,2023-06,1305318117
BR,2023-07,1834223256
BR,2023-08,2309433681
BR,2023-09,1851321581
BR,2023-10,1587376322
BR,2023-11,1997879450
BR,2023-12,1802063856
BR,2024-01,1773377811
BR,2024-02,2089264824
BR,2024-03,1669427907
BR,2024-04,1677328254
BR,2024-05,2359445331
BR,2024-06,1850681491
BR,2024-07,1727274499
BR,2024-08,2264896490
BR,2024-09,1844996544
BR,2024-10,2154230430
BR,2024-11,1860350343
BR,2024-12,965293164
DE,2023-06,542684405
DE,2023-07,690900474
DE,2023-08,857687502
DE,2023-09,745693550
DE,2023-10,702292699
DE,2023-11,853932359
DE,2023-12,981783953
DE,2024-01,658157383
DE,2024-02,855366623
DE,2024-03,719630741
DE,2024-04,759849164
DE,2024-05,1072084421
DE,2024-06,872665825
DE,2024-07,770361878
DE,2024-08,896651532
DE,2024-09,727045358
DE,2024-10,859369007
DE,2024-11,704977318
DE,2024-12,452124987
ES,2023-06,607790069
ES,2023-07,871930242
ES,2023-08,967860767
ES,2023-09,743990284
ES,2023-10,811021296
ES,2023-11,859552090
ES,2023-12,658757567
ES,2024-01,637156043
ES,2024-02,841787266
ES,2024-03,682164063
ES,2024-04,709310829
ES,2024-05,917000143
ES,2024-06,698460150
ES,2024-07,753354837
ES,2024-08,885394376
ES,2024-09,649804644
ES,2024-10,787742321
ES,2024-11,644563378
ES,2024-12,327686317
FR,2023-06,393996965
FR,2023-07,537211629
FR,2023-08,628945957
FR,2023-09,532596960
FR,2023-10,513444264
FR,2023-11,605701044
FR,2023-12,584622507
FR,2024-01,532960796
FR,2024-02,762147995
FR,2024-03,578469535
FR,2024-04,600857295
FR,2024-05,799533082
FR,2024-06,655785006
FR,2024-07,622971110
FR,2024-08,768155008
FR,2024-09,628393233
FR,2024-10,834058350
FR,2024-11,630072310
FR,2024-12,347136645
GB,2023-06,465266037
GB,2023-07,599741094
GB,2023-08,729992295
GB,2023-09,601888797
GB,2023-10,581471229
GB,2023-11,771064386
GB,2023-12,986119782
GB,2024-01,631186358
GB,2024-02,855160552
GB,2024-03,710186381
GB,2024-04,778971894
GB,2024-05,1062112995
GB,2024-06,823474017
GB,2024-07,752289054
GB,2024-08,923498613
GB,2024-09,732986357
GB,2024-10,882562484
GB,2024-11,712635407
GB,2024-12,458771527
IN,2023-06,1158434990
IN,2023-07,1469882869
IN,2023-08,1955948288
IN,2023-09,1595326992
IN,2023-10,1524001205
IN,2023-11,1733106648
IN,2023-12,1487634705
IN,2024-01,1366023063
IN,2024-02,1689390757
IN,2024-03,1289239379
IN,2024-04,1292192903
IN,2024-05,1655794713
IN,2024-06,1371145101
IN,2024-07,1401883921
IN,2024-08,1760902208
IN,2024-09,1502614217
IN,2024-10,1980815822
IN,2024-11,1579987397
IN,2024-12,386792691
JP,2023-06,343524871
JP,2023-07,460529631
JP,2023-08,557963582
JP,2023-09,450233409
JP,2023-10,464796651
JP,2023-11,589789519
JP,2023-12,491915692
JP,2024-01,482952294
JP,2024-02,610739469
JP,2024-03,498443872
JP,2024-04,525909202
JP,2024-05,672454086
JP,2024-06,537371374
JP,2024-07,537221669
JP,2024-08,650193748
JP,2024-09,508597610
JP,2024-10,641851249
JP,2024-11,524738121
JP,2024-12,264854477
KR,2023-06,39530038
KR,2023-07,58802035
KR,2023-08,65227683
KR,2023-09,49385639
KR,2023-10,51419775
KR,2023-11,84006715
KR,2023-12,62340506
KR,2024-01,55445541
KR,2024-02,64881739
KR,2024-03,52766716
KR,2024-04,56193953
KR,2024-05,74239563
KR,2024-06,64590979
KR,2024-07,65374315
KR,2024-08,78029329
KR,2024-09,62102807
KR,2024-10,90077750
KR,2024-11,80954044
KR,2024-12,40847628
MX,2023-06,1532560944
MX,2023-07,2038568088
MX,2023-08,2342133138
MX,2023-09,1979486234
MX,2023-10,2068925117
MX,2023-11,2555665063
MX,2023-12,2174936412
