Month,track_name,streams
2023-06,Ella Baila Sola,68224040
2023-07,vampire,99109527
2023-08,Seven (feat. Latto),167725388
2023-09,Paint The Town Red,130473402
2023-10,Seven (feat. Latto),100293785
2023-11,greedy,103162226
2023-12,All I Want for Christmas Is You,141363839
2024-01,La Diabla,109923843
2024-02,La Diabla,122462870
2024-03,Beautiful Things,132274181
2024-04,i like the way you kiss me,138101462
2024-05,Espresso,204853792
2024-06,Espresso,172849787
2024-07,Espresso,134038091
2024-08,Who,184722374
2024-09,Die With A Smile,139092657
2024-10,Die With A Smile,179319274
2024-11,Die With A Smile,137891516
2024-12,APT.,62582031
