country,track_name,artist_names,total_weeks,total_streams,avg_streams_per_week
AU,Mr. Brightside,The Killers,29783,50036198,633369.59
AU,Riptide,Vance Joy,29625,65407493,827942.95
AU,Dreams - 2004 Remaster,Fleetwood Mac,23463,46800244,592408.15
AU,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",21957,36701210,470528.33
AU,Party In The U.S.A.,Miley Cyrus,21318,32404896,426380.21
AU,Someone You Loved,Lewis Capaldi,21172,40044227,506888.95
AU,Say You Won't Let Go,James Arthur,19575,20122881,372645.94
AU,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",18658,32656898,429696.03
AU,No Role Modelz,J. Cole,18582,36566084,481132.68
AU,Blinding Lights,The Weeknd,17696,33231786,420655.52
BR,Aquela Pessoa - Ao Vivo,Henrique & Juliano,8769,152360285,1928611.2
BR,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,"Grupo Menos É Mais, Di Propósito, Vou Zuar",6903,47979164,1230234.97
BR,I Wanna Be Yours,Arctic Monkeys,6241,111000515,1405069.81
BR,Licor 43,"KayBlack, AMUSIK, Wall Hein",6162,153736232,1946028.25
BR,Vampiro,"Matuê, WIU, Teto",5922,79346789,1259472.84
BR,Dois Enganados,"Murilo Huff, Marília Mendonça",5734,85933163,1408740.38
BR,Liberdade Provisória - Live - Ibirapuera / 2019,Henrique & Juliano,5688,72138848,1502892.67
BR,Leão,Marília Mendonça,5214,208188451,2635296.85
BR,As It Was,Harry Styles,5187,79972642,1403028.81
BR,Como É Que A Gente Fica - Ao Vivo,Henrique & Juliano,5145,113958603,1627980.04
DE,In the End,Linkin Park,20085,56898080,729462.56
DE,Roller,Apache 207,16614,49841026,701986.28
DE,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",13983,59185206,749179.82
DE,Sweater Weather,The Neighbourhood,13065,54840987,703089.58
DE,Another Love,Tom Odell,12482,70970477,898360.47
DE,Without Me,Eminem,11088,45782647,594579.83
DE,Ohne mein Team,"Bonez MC, RAF Camora, Maxwell",10999,17674849,519848.5
DE,Sommergewitter,Pashanim,9756,48448555,672896.6
DE,Lose Yourself,Eminem,9639,29587900,547924.07
DE,Gangsta's Paradise,"Coolio, L.V.",8381,31793334,548160.93
ES,Soldadito marinero,Fito y Fitipaldis,22089,34402837,464903.2
ES,Me Rehúso,Danny Ocean,17639,29857037,481565.11
ES,El Fin del Mundo,"La La Love You, Axolotes Mexicanos",15168,60010547,759627.18
ES,La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",14168,38831060,504299.48
ES,Como Camarón,Estopa,13193,51260796,648870.84
ES,Antes de Morirme (feat. ROSALÍA),"C. Tangana, ROSALÍA",12383,27125782,444684.95
ES,Princesas,Pereza,12125,22127109,442542.18
ES,Caminando por la vida,Melendi,9796,41702441,527879.0
ES,Amanece,"Anuel AA, Haze",9243,60303720,763338.23
ES,Mi Luz (ft. Rels B),"Rvfv, Rels B",8769,70090937,887227.05
FR,La vie qu'on mène,Ninho,20540,54149091,685431.53
FR,Θ. Macarena,Damso,19126,37690713,516311.14
FR,Blinding Lights,The Weeknd,16133,34743016,475931.73
FR,Lettre à une femme,Ninho,12493,28014812,451851.81
FR,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",11771,53126653,672489.28
FR,Bande organisée,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",11700,31251794,480796.83
FR,Putana,Ninho,11322,34636624,509362.12
FR,Avec Toi,OBOY,10959,44633068,572218.82
FR,Another Love,Tom Odell,10823,53006086,670963.11
FR,Cabeza,OBOY,9333,31000293,508201.52
GB,Mr. Brightside,The Killers,29783,89425980,1131974.43
GB,Wonderwall - Remastered,Oasis,26460,46586598,647036.08
GB,Riptide,Vance Joy,26070,75758351,958966.47
GB,Naive,The Kooks,24921,53449306,685247.51
GB,Do I Wanna Know?,Arctic Monkeys,23674,50204953,660591.49
GB,Someone You Loved,Lewis Capaldi,20867,56535984,734233.56
GB,Everywhere - 2017 Remaster,Fleetwood Mac,20540,58139433,735942.19
GB,One Dance,"Drake, Wizkid, Kyla",19250,54861988,712493.35
GB,Fluorescent Adolescent,Arctic Monkeys,15987,45895975,628711.99
GB,Dreams - 2004 Remaster,Fleetwood Mac,15958,64082940,811176.46
IN,"Duniyaa (From ""Luka Chuppi"")","Akhil, Dhvani Bhanushali, Kunaal Vermaa, Abhijit Vaghani",20553,126487247,1621631.37
IN,Pal,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole",20397,132910070,1703975.26
IN,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh",19461,178721589,2291302.42
IN,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon",19461,194736681,2496624.12
IN,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra, Manoj Muntashir",19305,169110232,2168079.9
IN,Kabira,"Pritam, Tochi Raina, Rekha Bhardwaj",18291,119622703,1533624.4
IN,Khairiyat,"Pritam, Arijit Singh",17550,91723224,1222976.32
IN,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva, Tulsi Kumar",17501,103973343,1405045.18
IN,Shayad,"Pritam, Arijit Singh",16887,151848982,1946781.82
IN,Ae Dil Hai Mushkil Title Track,"Pritam, Arijit Singh",16731,110368235,1414977.37
JP,Shape of You,Ed Sheeran,26939,29553382,374093.44
JP,君はロックを聴かない,Aimyon,25201,36533480,462449.11
JP,青と夏,Mrs. GREEN APPLE,23384,110658048,1400734.78
JP,Marigold,Aimyon,23305,37996486,480968.18
JP,小さな恋のうた,MONGOL800,22578,25773714,363010.06
JP,チェリー,SPITZ,21646,37724799,477529.1
JP,高嶺の花子さん,back number,20777,66273309,838902.65
JP,白日,King Gnu,20553,31738438,406903.05
JP,僕のこと,Mrs. GREEN APPLE,20303,44986516,569449.57
JP,Pretender,OFFICIAL HIGE DANDISM,20224,34869601,441387.35
KR,Love Yourself,Justin Bieber,12324,2696754,34136.13
KR,for lovers who hesitate,JANNABI,12207,3033020,38884.87
KR,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",12166,3653948,46252.51
KR,double take,Dhruv,11297,3821480,48373.16
KR,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",11060,3307938,41872.63
KR,Off My Face,Justin Bieber,10050,2221716,33159.94
KR,Ghost,Justin Bieber,9825,2718883,36251.77
KR,Love Always Run Away,Lim Young Woong,9638,5288616,66944.51
KR,Filter,BTS,8436,2142557,37588.72
KR,Dynamite,BTS,8127,2006914,37165.07
MX,Ahora Te Puedes Marchar,Luis Miguel,29367,126546772,1622394.51
MX,Me Rehúso,Danny Ocean,28567,123963280,1609912.73
MX,Brillas,León Larregui,27600,115647890,1541971.87
MX,Locos,León Larregui,23598,123758734,1628404.39
MX,A Mí,Rels B,20553,135670668,1739367.54
MX,LA CANCIÓN,"J Balvin, Bad Bunny",19149,128476372,1647132.97
MX,Devuélveme a mi chica,Hombres G,17325,82960440,1508371.64
MX,El Paciente,Alfredo Olivas,15015,149020676,1910521.49
MX,El Color de Tus Ojos,Banda MS de Sergio Lizárraga,14465,85066049,1546655.44
MX,Belleza De Cantina,Cardenales De Nuevo León,13390,111383865,1713597.92
SE,Babblarnas vaggvisa,Babblarna,21192,39749213,509605.29
SE,Wake Me Up,Avicii,18030,9188388,153139.8
SE,Hon dansar vidare i livet,Hov1,16509,15558300,246957.14
SE,Svag,Victor Leksell,16164,15004753,197430.96
SE,Young & Heartless,Yasin,13593,12681732,173722.36
SE,Hiphop N RnB,Yasin,13076,13810686,186630.89
SE,Someone You Loved,Lewis Capaldi,12084,8327505,157122.74
SE,Josefin,Albin Lee Meldau,11564,23281281,302354.3
SE,Gamora,"Hov1, Einár",11518,15708904,212282.49
SE,Sunnanvind,Mares,11262,22050498,324272.03
TH,เวลาเธอยิ้ม,Polycat,21723,20402216,261566.87
TH,หมายความว่าอะไร,MEAN Band,17459,17720771,224313.56
TH,นิโคติน,Mirrr,16985,18890060,239114.68
TH,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",14925,21000967,280012.89
TH,ร่มสีเทา,Whatcharawalee,14141,18262846,231175.27
TH,ฝนตกไหม,Three Man Down,13485,12668596,204332.19
TH,ขี้หึง,Silly Fools,13221,20199000,258961.54
TH,Extraordinary,Anatomy Rabbit,12551,15227186,197755.66
TH,ดอกไม้ไฟ,Mirrr,12089,15906849,206582.45
TH,double take,Dhruv,11692,24485694,309945.49
US,No Role Modelz,J. Cole,24054,283937310,3736017.24
US,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",20700,223914697,2985529.29
US,Sweater Weather,The Neighbourhood,14694,310563084,3931178.28
US,Mr. Brightside,The Killers,14168,215917766,2804126.83
US,Whiskey Glasses,Morgan Wallen,13412,151811191,2710914.12
US,505,Arctic Monkeys,12831,216880926,2780524.69
US,Dreams - 2004 Remaster,Fleetwood Mac,12654,234852791,3090168.3
US,Wasted On You,Morgan Wallen,12350,280145855,3686129.67
US,Money Trees,"Kendrick Lamar, Jay Rock",11916,214328676,2976787.17
US,Ric Flair Drip (with Metro Boomin),"Offset, Metro Boomin",11550,148472025,2699491.36
VN,Lạ Lùng,Vũ.,24490,13196068,167038.84
VN,Thanh Xuân,Da LAB,22581,12091960,155025.13
VN,Bài Này Chill Phết,"Đen, MIN",18315,9684613,130873.15
VN,Lối Nhỏ,"Đen, Phương Anh Đào",18091,12285398,155511.37
VN,Buồn Thì Cứ Khóc Đi,Lynk Lee,17380,13320480,168613.67
VN,Nơi Này Có Anh,Sơn Tùng M-TP,16640,10703261,164665.55
VN,Cho Tôi Lang Thang,"Ngọt, Đen",15483,10819607,138712.91
VN,Tình Đắng Như Ly Cà Phê,"Ngơ, NÂN",15265,10667109,150240.97
VN,3 1 0 7 (feat. Duongg & Nâu),"W/N, Duongg, Nâu",14852,14445105,182849.43
VN,Thích Quá Rùi Nà,"tlinh, Trung Trần",14378,17290735,218870.06
ZA,lovely (with Khalid),"Billie Eilish, Khalid",24253,7912423,100157.25
ZA,Let Me Love You,Mario,21725,10844833,137276.37
ZA,Someone You Loved,Lewis Capaldi,21330,7593813,96124.22
ZA,Say You Won't Let Go,James Arthur,19565,5256225,80865.0
ZA,Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",17057,6476126,87515.22
ZA,When I See U,Fantasia,15879,9596785,121478.29
ZA,No Role Modelz,J. Cole,13414,7590661,99877.12
ZA,Sure Thing,Miguel,13193,12116668,153375.54
ZA,One Dance,"Drake, Wizkid, Kyla",11505,6370798,81676.9
ZA,Don't,Bryson Tiller,9085,8491498,107487.32
