Month,Common_Artists,Common_Tracks
2023-06,set(),set()
2023-07,"{'Jung Kook, Latto'}",{'Seven (feat. Latto)'}
2023-08,"{'Jung Kook, Latto'}",{'Seven (feat. Latto)'}
2023-09,"{'Taylor Swift', 'Jung Kook, Latto', 'Doja Cat'}","{'Paint The Town Red', 'Cruel Summer', 'Seven (feat. Latto)'}"
2023-10,"{'Taylor Swift', 'Jung Kook, Jack Harlow', 'Doja Cat'}","{'Paint The Town Red', 'Cruel Summer', '3D (feat. Jack Harlow)'}"
2023-11,"{'Jung Kook', 'Taylor Swift'}","{'Cruel Summer', 'Standing Next to You'}"
2023-12,{'Taylor Swift'},{'Cruel Summer'}
2024-01,set(),set()
2024-02,set(),set()
2024-03,set(),set()
2024-04,"{'Taylor Swift, Post Malone'}",{'Fortnight (feat. Post Malone)'}
2024-05,"{'Taylor Swift, Post Malone', 'Sabrina Carpenter'}","{'Espresso', 'Fortnight (feat. Post Malone)'}"
2024-06,{'Sabrina Carpenter'},"{'Please Please Please', 'Espresso'}"
2024-07,"{'Billie Eilish', 'Sabrina Carpenter'}","{'Please Please Please', 'BIRDS OF A FEATHER', 'Espresso'}"
2024-08,{'Sabrina Carpenter'},"{'Please Please Please', 'Espresso'}"
2024-09,{'Sabrina Carpenter'},{'Espresso'}
2024-10,"{'ROSÉ, Bruno Mars', 'Sabrina Carpenter', 'Lady Gaga, Bruno Mars'}","{'APT.', 'Die With A Smile', 'Espresso'}"
2024-11,"{'ROSÉ, Bruno Mars', 'Lady Gaga, Bruno Mars'}","{'APT.', 'Die With A Smile'}"
2024-12,"{'ROSÉ, Bruno Mars', 'Lady Gaga, Bruno Mars'}","{'APT.', 'Die With A Smile'}"
