# 월별 전세계적으로 가장 많이 스트리밍된 곡과 아티스트 통합 분석 결과
Month,streams,Type,Name
2023-06,30454005.0,Track,Flowers
2023-06,27532098.0,Track,As It Was
2023-06,24314695.0,Track,Daylight
2023-06,23958359.0,Track,BESO
2023-06,23130967.0,Track,Like Crazy
2023-06,23078904.0,Track,Take Two
2023-06,23039274.0,Track,I Wanna Be Yours
2023-06,22989132.0,Track,Calm Down (with Selena Gomez)
2023-06,22659493.0,Track,I'm Good (Blue)
2023-06,20372373.0,Track,Cupid (Twin Ver.) - Live Studio Version OT4
2023-07,41341053.0,Track,vampire
2023-07,35687742.0,Track,Cruel Summer
2023-07,35640129.0,Track,Like Crazy
2023-07,35594840.0,Track,Flowers
2023-07,32059260.0,Track,As It Was
2023-07,30495678.0,Track,Daylight
2023-07,29622983.0,Track,Sprinter
2023-07,29462798.0,Track,I Wanna Be Yours
2023-07,28098664.0,Track,I'm Good (Blue)
2023-07,26120078.0,Track,Dance The Night - From Barbie The Album
2023-08,69231072.0,Track,Seven (feat. Latto)
2023-08,58568701.0,Track,Dance The Night - From Barbie The Album
2023-08,52100296.0,Track,"What Was I Made For? [From The Motion Picture ""Barbie""]"
2023-08,50007704.0,Track,Cruel Summer
2023-08,41960285.0,Track,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)
2023-08,41764392.0,Track,Like Crazy
2023-08,41191993.0,Track,Sprinter
2023-08,38145527.0,Track,Flowers
2023-08,37341780.0,Track,I Wanna Be Yours
2023-08,37185071.0,Track,vampire
2023-09,49268398.0,Track,Seven (feat. Latto)
2023-09,47658742.0,Track,Paint The Town Red
2023-09,46594604.0,Track,Cruel Summer
2023-09,36701166.0,Track,I Wanna Be Yours
2023-09,33838570.0,Track,Sprinter
2023-09,32979966.0,Track,Flowers
2023-09,30388950.0,Track,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)
2023-09,30212410.0,Track,Dance The Night - From Barbie The Album
2023-09,29141282.0,Track,vampire
2023-09,27059238.0,Track,Strangers
2023-10,61515264.0,Track,Paint The Town Red
2023-10,52266525.0,Track,3D (feat. Jack Harlow)
2023-10,44036276.0,Track,greedy
2023-10,41343929.0,Track,Seven (feat. Latto)
2023-10,41325328.0,Track,Cruel Summer
2023-10,40033559.0,Track,Strangers
2023-10,37881494.0,Track,I Wanna Be Yours
2023-10,36851000.0,Track,As It Was
2023-10,34752939.0,Track,Daylight
2023-10,29915609.0,Track,Water
2023-11,68046935.0,Track,greedy
2023-11,53633727.0,Track,Seven (feat. Latto) (Explicit Ver.)
2023-11,52211476.0,Track,Cruel Summer
2023-11,45025756.0,Track,I Wanna Be Yours
2023-11,44528281.0,Track,As It Was
2023-11,44260542.0,Track,Paint The Town Red
2023-11,42925974.0,Track,Standing Next to You
2023-11,40873306.0,Track,Strangers
2023-11,36429781.0,Track,Prada
2023-11,35891645.0,Track,Water
2023-12,46414582.0,Track,greedy
2023-12,38687668.0,Track,All I Want for Christmas Is You
2023-12,37388456.0,Track,Si No Estás
2023-12,36018064.0,Track,Rockin' Around The Christmas Tree
2023-12,34040507.0,Track,Seven (feat. Latto) (Explicit Ver.)
2023-12,32609650.0,Track,Last Christmas - Single Version
2023-12,32064413.0,Track,Sleigh Ride
2023-12,31370277.0,Track,I Wanna Be Yours
2023-12,31009958.0,Track,Cruel Summer
2023-12,27567052.0,Track,Holly Jolly Christmas
2024-01,47214026.0,Track,greedy
2024-01,37737175.0,Track,Cruel Summer
2024-01,36918587.0,Track,Lovin On Me
2024-01,35082429.0,Track,"One Of The Girls (with JENNIE, Lily Rose Depp)"
2024-01,34877521.0,Track,Seven (feat. Latto) (Explicit Ver.)
2024-01,34719717.0,Track,As It Was
2024-01,30330007.0,Track,I Wanna Be Yours
2024-01,29750154.0,Track,Starboy
2024-01,29577831.0,Track,Houdini
2024-01,27466483.0,Track,Si No Estás
2024-02,57336956.0,Track,greedy
2024-02,55526846.0,Track,Cruel Summer
2024-02,50320125.0,Track,"One Of The Girls (with JENNIE, Lily Rose Depp)"
2024-02,49449498.0,Track,Unwritten
2024-02,47019682.0,Track,Beautiful Things
2024-02,43326608.0,Track,"yes, and?"
2024-02,43292947.0,Track,Lose Control
2024-02,42760044.0,Track,Houdini
2024-02,40827574.0,Track,I Wanna Be Yours
2024-02,36973809.0,Track,Lovin On Me
2024-03,47261440.0,Track,greedy
2024-03,45460276.0,Track,Beautiful Things
2024-03,44904000.0,Track,Lose Control
2024-03,40289108.0,Track,Cruel Summer
2024-03,39600645.0,Track,TEXAS HOLD 'EM
2024-03,38836368.0,Track,End of Beginning
2024-03,38086905.0,Track,"One Of The Girls (with JENNIE, Lily Rose Depp)"
2024-03,37951228.0,Track,Unwritten
2024-03,35961304.0,Track,I Wanna Be Yours
2024-03,32506356.0,Track,Flowers
2024-04,59144455.0,Track,Beautiful Things
2024-04,52753688.0,Track,End of Beginning
2024-04,50844206.0,Track,we can't be friends (wait for your love)
2024-04,43109395.0,Track,Lose Control
2024-04,41127986.0,Track,greedy
2024-04,41023993.0,Track,i like the way you kiss me
2024-04,35830644.0,Track,TEXAS HOLD 'EM
2024-04,33819551.0,Track,"One Of The Girls (with JENNIE, Lily Rose Depp)"
2024-04,33148101.0,Track,Too Sweet
2024-04,30923120.0,Track,I Wanna Be Yours
2024-05,76668840.0,Track,Beautiful Things
2024-05,72784274.0,Track,Espresso
2024-05,57371399.0,Track,Fortnight (feat. Post Malone)
2024-05,53374960.0,Track,i like the way you kiss me
2024-05,51346353.0,Track,Lose Control
2024-05,46331114.0,Track,Too Sweet
2024-05,46273794.0,Track,we can't be friends (wait for your love)
2024-05,42046565.0,Track,"One Of The Girls (with JENNIE, Lily Rose Depp)"
2024-05,41121312.0,Track,End of Beginning
2024-05,38570617.0,Track,Belong Together
2024-06,68370508.0,Track,Espresso
2024-06,56773348.0,Track,Beautiful Things
2024-06,51111600.0,Track,BIRDS OF A FEATHER
2024-06,43001097.0,Track,i like the way you kiss me
2024-06,42944374.0,Track,LUNCH
2024-06,41235745.0,Track,MILLION DOLLAR BABY
2024-06,36819705.0,Track,Gata Only
2024-06,36473864.0,Track,Lose Control
2024-06,36429917.0,Track,Too Sweet
2024-06,35808602.0,Track,CHIHIRO
2024-07,62247226.0,Track,Espresso
2024-07,52469507.0,Track,BIRDS OF A FEATHER
2024-07,49538454.0,Track,Beautiful Things
2024-07,46859938.0,Track,Please Please Please
2024-07,38244230.0,Track,Too Sweet
2024-07,36994545.0,Track,Houdini
2024-07,35498132.0,Track,Not Like Us
2024-07,33934019.0,Track,Gata Only
2024-07,32967853.0,Track,"One Of The Girls (with JENNIE, Lily Rose Depp)"
2024-07,32776810.0,Track,Lose Control
2024-08,72484442.0,Track,Espresso
2024-08,59152571.0,Track,Please Please Please
2024-08,58075848.0,Track,BIRDS OF A FEATHER
2024-08,53442706.0,Track,Bye Bye Bye - From Deadpool and Wolverine Soundtrack
2024-08,52489500.0,Track,Who
2024-08,49070428.0,Track,Beautiful Things
2024-08,45743404.0,Track,Alibi (with Pabllo Vittar & Yseult)
2024-08,40489298.0,Track,Too Sweet
2024-08,39064366.0,Track,Lose Control
2024-08,37226286.0,Track,A Bar Song (Tipsy)
2024-09,63747959.0,Track,BIRDS OF A FEATHER
2024-09,60087863.0,Track,Who
2024-09,60081378.0,Track,Espresso
2024-09,46431276.0,Track,Die With A Smile
2024-09,42723785.0,Track,Taste
2024-09,41601283.0,Track,Please Please Please
2024-09,37266401.0,Track,Beautiful Things
2024-09,36300619.0,Track,Gata Only
2024-09,33052377.0,Track,"One Of The Girls (with JENNIE, Lily Rose Depp)"
2024-09,32604330.0,Track,I Wanna Be Yours
2024-10,78802689.0,Track,BIRDS OF A FEATHER
2024-10,67846107.0,Track,Die With A Smile
2024-10,62592207.0,Track,Espresso
2024-10,60016507.0,Track,Who
2024-10,42018286.0,Track,Beautiful Things
2024-10,39829464.0,Track,I Wanna Be Yours
2024-10,38373581.0,Track,APT.
2024-10,37333963.0,Track,Taste
2024-10,35911292.0,Track,"Good Luck, Babe!"
2024-10,34962250.0,Track,Lose Control
2024-11,71345419.0,Track,APT.
2024-11,57281882.0,Track,Die With A Smile
2024-11,56867159.0,Track,BIRDS OF A FEATHER
2024-11,45280766.0,Track,Who
2024-11,36428036.0,Track,Espresso
2024-11,34847706.0,Track,Taste
2024-11,32825302.0,Track,I Wanna Be Yours
2024-11,32008563.0,Track,Beautiful Things
2024-11,30445274.0,Track,Locked out of Heaven
2024-11,29992505.0,Track,The Emptiness Machine
2024-12,35007481.0,Track,APT.
2024-12,25485734.0,Track,BIRDS OF A FEATHER
2024-12,24405850.0,Track,Who
2024-12,23918826.0,Track,Die With A Smile
2024-12,19307901.0,Track,Ma Meilleure Ennemie (from the series Arcane League of Legends)
2024-12,18133707.0,Track,Espresso
2024-12,15855358.0,Track,Beautiful Things
2024-12,14094953.0,Track,That’s So True
2024-12,13495244.0,Track,The Emptiness Machine
2024-12,13385277.0,Track,I Wanna Be Yours
2023-06,143640853.0,Artist,Taylor Swift
2023-06,63874476.0,Artist,Morgan Wallen
2023-06,52435723.0,Artist,Arctic Monkeys
2023-06,52385255.0,Artist,Harry Styles
