Country,Month,track_name,artist_names,Total_Streams
AU,2023-06,(It Goes Like) Nanana - Edit,Peggy Gou,293875
AU,2023-06,...Ready For It?,Taylor Swift,292280
AU,2023-06,10:35,"Tiësto, Tate McRae",1244149
AU,2023-06,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Beyoncé, Kendrick Lamar",349122
AU,2023-06,About Damn Time,Lizzo,545243
AU,2023-07,(It Goes Like) Nanana - Edit,Peggy Gou,1390089
AU,2023-07,...Ready For It?,Taylor Swift,309439
AU,2023-07,10:35,"Tiësto, Tate McRae",1595030
AU,2023-07,2 Be Loved (Am I Ready),Lizzo,641544
AU,2023-07,ASAP,NewJeans,401828
AU,2023-08,(It Goes Like) Nanana - Edit,Peggy Gou,3080796
AU,2023-08,10:35,"Tiësto, Tate McRae",1974018
AU,2023-08,3:15 (Breathe),Russ,289281
AU,2023-08,7 Years,Lukas Graham,864921
AU,2023-08,Africa,TOTO,1551989
AU,2023-09,(It Goes Like) Nanana - Edit,Peggy Gou,2563171
AU,2023-09,10:35,"Tiësto, Tate McRae",1637161
AU,2023-09,A N X I E T Y (feat. Doechii),"Sleepy Hallow, Doechii",417805
AU,2023-09,Africa,TOTO,1333153
AU,2023-09,After Hours,The Weeknd,315552
AU,2023-10,(It Goes Like) Nanana - Edit,Peggy Gou,2125558
AU,2023-10,10:35,"Tiësto, Tate McRae",1523364
AU,2023-10,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",1823597
AU,2023-10,7969 Santa,Drake,628876
AU,2023-10,8am in Charlotte,Drake,651844
AU,2023-11,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,3686055
AU,2023-11,(It Goes Like) Nanana - Edit,Peggy Gou,2228346
AU,2023-11,10:35,"Tiësto, Tate McRae",1620955
AU,2023-11,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",668283
AU,2023-11,500lbs,Lil Tecca,319274
AU,2023-12,(It Goes Like) Nanana - Edit,Peggy Gou,1844684
AU,2023-12,10:35,"Tiësto, Tate McRae",1125271
AU,2023-12,500lbs,Lil Tecca,337795
AU,2023-12,A Holly Jolly Christmas,Burl Ives,2397671
AU,2023-12,A Nonsense Christmas,Sabrina Carpenter,435165
AU,2024-01,(It Goes Like) Nanana - Edit,Peggy Gou,2137668
AU,2024-01,10:35,"Tiësto, Tate McRae",1389858
AU,2024-01,Africa,TOTO,1345273
AU,2024-01,Agora Hills,Doja Cat,2604235
AU,2024-01,Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",1735942
