Country,artist_names,streams
AU,Taylor Swift,614960153
AU,Sabrina Carpenter,272182521
AU,Luke Combs,238771929
AU,Billie Eilish,208940772
AU,Morgan Wallen,183354248
AU,Zach Bryan,180785771
AU,SZA,131831783
AU,Tate McRae,128955547
AU,Benson Boone,126562451
AU,Olivia Rodrigo,116245154
AU,Eminem,107436246
AU,Chappell Roan,101752274
AU,Hozier,100928813
AU,Coldplay,96368558
AU,Fleetwood Mac,93664520
AU,Miley Cyrus,89120717
AU,Teddy Swims,87662870
AU,Noah Kahan,84903832
AU,Ariana Grande,84819275
AU,Creedence Clearwater Revival,78556750
AU,Doja Cat,77617968
AU,"Zach Bryan, Kacey Musgraves",74392201
AU,OneRepublic,74215163
AU,Dua Lipa,74133187
AU,Shaboozey,72106541
AU,Frank Ocean,67044499
AU,Harry Styles,66133848
AU,Tommy Richman,65407838
AU,Vance Joy,65407493
AU,Gracie Abrams,64817813
AU,The Weeknd,64130840
AU,Jack Harlow,61853865
AU,Chris Stapleton,61716508
AU,"cassö, RAYE, D-Block Europe",60527338
AU,Kendrick Lamar,59077298
AU,"Post Malone, Morgan Wallen",58516540
AU,The Kid LAROI,56323451
AU,Artemas,53988782
AU,Lewis Capaldi,51617877
AU,"Dave, Central Cee",51564047
AU,Dasha,50858794
AU,The Killers,50036198
AU,Michael Marcagi,48226401
AU,J. Cole,48094021
AU,Post Malone,46172674
AU,Djo,45639110
AU,Troye Sivan,44638394
AU,The Goo Goo Dolls,44076817
AU,Lord Huron,43087719
AU,"The Weeknd, Playboi Carti, Madonna",42657168
AU,David Kushner,41776290
AU,Gunna,41763819
AU,Kings of Leon,41130444
AU,AC/DC,40960510
AU,Kenya Grace,40273351
AU,Dominic Fike,39469445
AU,"Taylor Swift, Post Malone",39078915
AU,Tyla,38490159
AU,Myles Smith,38198760
AU,"Kendrick Lamar, SZA",38069243
AU,Kanye West,37698443
AU,Glass Animals,37600127
AU,Charli xcx,37495083
AU,"Post Malone, Swae Lee",36701210
AU,The Neighbourhood,35773950
