country,track_name,artist_names,rank,previous_rank,rank_change,rank_change_absolute
AU,Rich Men North of Richmond,Oliver Anthony Music,21,200,179,179
AU,Noid,"Tyler, The Creator",12,182,170,170
AU,Rudolph The Red-Nosed Reindeer,Burl Ives,63,195,132,132
AU,DJ Play A Christmas Song,Cher,45,176,131,131
AU,Winter Wonderland - Spotify Singles Holiday,Laufey,60,180,120,120
AU,Fearless (Taylor’s Version),Taylor Swift,67,185,118,118
AU,Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike,77,193,116,116
AU,Don't Dream It's Over,Crowded House,79,188,109,109
AU,Praise Jah In The Moonlight,YG Marley,64,167,103,103
AU,UK Rap,"Dave, Central Cee",50,151,101,101
BR,Sonho Dela (Cowboy),"CountryBeat, Félix, Léo Souzza",19,193,174,174
BR,Filho da Noite,"Matuê, MC Ryan SP",14,183,169,169
BR,Eu So Comi Ela uma Vez,"Dj VN Maestro, MC G DS",13,170,157,157
BR,Loucura,"Borges, MC Cabelinho, Veigh, RUXN, Palma, Kizzy",30,183,153,153
BR,"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",50,199,149,149
BR,Vai Novinha Ah Ah Ah,Dyamante DJ,23,170,147,147
BR,De Graça ou Pagando,Grelo,29,169,140,140
BR,Aproveita - Ao Vivo,Clayton & Romário,55,191,136,136
BR,Heavy Is the Crown,Linkin Park,54,188,134,134
BR,Sai Da Frente,Juliette,55,187,132,132
DE,TEXAS HOLD 'EM,Beyoncé,9,192,183,183
DE,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Ice Spice, Aqua",27,183,156,156
DE,What Happened,Luciano,11,164,153,153
DE,FREE SPIRIT,Shindy,10,160,150,150
DE,Stick Season,Noah Kahan,59,194,135,135
DE,Big Dawgs,"Hanumankind, Kalmi",17,152,135,135
DE,Angel Numbers / Ten Toes,Chris Brown,48,182,134,134
DE,Soaked,Shy Smith,56,187,131,131
DE,Unwritten,Natasha Bedingfield,19,149,130,130
DE,A Bar Song (Tipsy),Shaboozey,44,165,121,121
ES,RoCKSTAR 2.0,"Duki, JHAYCO",17,196,179,179
ES,Barro,Duki,59,188,129,129
ES,REAL GANGSTA LOVE,Trueno,46,170,124,124
ES,Alegría,"Tiago PZK, Anitta, Emilia",11,134,123,123
ES,Shars 2023,Al Safir,74,186,112,112
ES,Whisky,"Samuel G, Oscar el Ruso, Aissa, Nickzzy, Juseph, Samueliyo Baby",77,186,109,109
ES,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC,82,190,108,108
ES,Potra Salvaje - Hard Remix,"Isabel Aaiún, Fernando Moreno",38,144,106,106
ES,Santa,"Rvssian, Rauw Alejandro, Ayra Starr",14,115,101,101
ES,BESOS (with Kidd Keo & Neelo),"SwaggGlock, Neelo, Kidd Keo",99,195,96,96
FR,16.02.2024,Werenoi,11,180,169,169
FR,Panama,"Kaaris, Hamza",51,192,141,141
FR,Si No Estás,iñigo quintero,6,139,133,133
FR,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Ice Spice, Aqua",31,157,126,126
FR,Lovin On Me,Jack Harlow,49,174,125,125
FR,Gata Only,"FloyyMenor, Cris Mj",9,132,123,123
FR,Whatever,"Kygo, Ava Max",62,184,122,122
FR,Oh qu'elle est belle,"Jul, DYSTINCT",35,156,121,121
FR,Bécane - A COLORS SHOW,Yamê,24,142,118,118
FR,CIEL,GIMS,63,174,111,111
GB,360,Charli xcx,35,194,159,159
GB,Murder On The Dancefloor,Sophie Ellis-Bextor,7,156,149,149
GB,Heavy Is the Crown,Linkin Park,38,185,147,147
GB,Tell Ur Girlfriend,Lay Bankz,19,164,145,145
GB,Nothing Matters,The Last Dinner Party,56,196,140,140
GB,My Love Mine All Mine,Mitski,46,182,136,136
GB,NIGHTS LIKE THIS,The Kid LAROI,54,186,132,132
GB,Home,Good Neighbours,46,177,131,131
GB,Story of My Life,One Direction,10,135,125,125
GB,Whatever,"Kygo, Ava Max",55,174,119,119
IN,Ram Aayenge,"Payal Dev, Vishal Mishra, Manoj Muntashir",25,199,174,174
IN,"Manasilaayo (From ""Vettaiyan"")","Anirudh Ravichander, Malaysia Vasudevan, Deepthi Suresh, Yugendran Vasudevan",9,181,172,172
IN,"Soni Soni (From ""Ishq Vishk Rebound"")","Darshan Raval, Jonita Gandhi, Rochak Kohli, Gurpreet Saini",23,192,169,169
IN,Chor,Justh,24,163,139,139
IN,Saanware,"Akhil Sachdeva, Kartik Dev",57,194,137,137
IN,"Chuttamalle (From ""Devara Part 1"")","Shilpa Rao, Anirudh Ravichander, Ramajogayya Sastry",10,147,137,137
IN,Ram Ayenge,Swati Mishra,18,148,130,130
IN,Blue Eyes,Yo Yo Honey Singh,48,171,123,123
IN,Not Ramaiya Vastavaiya,"Anirudh Ravichander, Vishal Dadlani, Shilpa Rao, Kumaar",34,152,118,118
IN,Water Packet,"Santhosh Narayanan, Shweta Mohan, Gana Kadhar",60,178,118,118
JP,Supernova,aespa,43,194,151,151
JP,Bling-Bang-Bang-Born,Creepy Nuts,8,147,139,139
JP,風神,Vaundy,62,197,135,135
JP,憂、燦々,Yorushika,14,147,133,133
JP,がらくた - JUNK,Kenshi Yonezu,31,161,130,130
JP,Midnight City,Number_i,58,187,129,129
JP,Die With A Smile,"Lady Gaga, Bruno Mars",68,196,128,128
JP,Is it me?,Number_i,52,171,119,119
JP,Love Song,Marcy,55,173,118,118
JP,MAESTRO,SEVENTEEN,56,174,118,118
KR,Midas Touch,KISS OF LIFE,10,171,161,161
KR,Spring Snow,10CM,44,198,154,154
KR,Bling-Bang-Bang-Born,Creepy Nuts,48,200,152,152
KR,plot twist,TWS,33,178,145,145
KR,Fate,(G)I-DLE,50,188,138,138
KR,T.B.H,QWER,26,163,137,137
KR,"Smoke (Prod. Dynamicduo, Padi)","Dynamicduo, Lee Young Ji",27,159,132,132
KR,AK47,"Men's Tear, 뷰티풀너드",25,157,132,132
KR,"무제(無題) (Untitled, 2014)",G-DRAGON,64,182,118,118
KR,Roller Coaster,NMIXX,38,154,116,116
MX,Dime,"El Malilla, Maury",27,187,160,160
MX,Nena Moxita,"El Bogueto, Yeri Mua, Uzielito Mix",40,191,151,151
MX,La 701,El Charlee,40,181,141,141
MX,MINIMI,Bryan Martínez,50,191,141,141
MX,La Vida Sin Ti,"Rels B, Lia Kali",23,159,136,136
MX,LINDA,"Tito Double P, Neton Vega",41,174,133,133
MX,ESCAPATE,"Tito Double P, Chino Pacas",36,166,130,130
MX,Santa,"Rvssian, Rauw Alejandro, Ayra Starr",22,150,128,128
MX,FRESITA,"Fuerza Regida, Bellakath",55,183,128,128
MX,Linea Del Perreo,"Uzielito Mix, Yeri Mua, El Jordan 23, Dj Kiire",29,151,122,122
SE,Rim Tim Tagi Dim,Baby Lasagna,6,183,177,177
SE,Europapa,Joost,4,165,161,161
SE,Paradise,Coldplay,44,188,144,144
SE,Twogunkid,Yasin,50,187,137,137
SE,A Sky Full of Stars,Coldplay,33,162,129,129
SE,Black Owned Business,Yasin,73,198,125,125
SE,Don't Look Back in Anger - Remastered,Oasis,63,184,121,121
SE,FIRA JUL PÅ FYRA HJUL,Elov & Beny,80,184,104,104
SE,Lokalisering,Yasin,54,157,103,103
SE,SOLDAT - RMX,"VC Barre, Golfklubb, Pablo Paz, takenoelz",46,145,99,99
