Country,Year,Month,Total_Streams
AU,2023,6,246419880
AU,2023,7,348662736
AU,2023,8,462570112
AU,2023,9,387026227
AU,2023,10,377881824
AU,2023,11,495877353
AU,2023,12,459882476
AU,2024,1,399378648
AU,2024,2,574905832
AU,2024,3,466239036
AU,2024,4,495349205
AU,2024,5,678751536
AU,2024,6,527261334
AU,2024,7,493401522
AU,2024,8,615944305
AU,2024,9,495660559
AU,2024,10,602719352
AU,2024,11,474242852
AU,2024,12,241744236
BR,2023,6,1305318117
BR,2023,7,1834223256
BR,2023,8,2309433681
BR,2023,9,1851321581
BR,2023,10,1587376322
BR,2023,11,1997879450
BR,2023,12,1802063856
BR,2024,1,1773377811
BR,2024,2,2089264824
BR,2024,3,1669427907
BR,2024,4,1677328254
BR,2024,5,2359445331
BR,2024,6,1850681491
BR,2024,7,1727274499
BR,2024,8,2264896490
BR,2024,9,1844996544
BR,2024,10,2154230430
BR,2024,11,1860350343
BR,2024,12,965293164
DE,2023,6,542684405
DE,2023,7,690900474
DE,2023,8,857687502
DE,2023,9,745693550
DE,2023,10,702292699
DE,2023,11,853932359
DE,2023,12,981783953
DE,2024,1,658157383
DE,2024,2,855366623
DE,2024,3,719630741
DE,2024,4,759849164
DE,2024,5,1072084421
DE,2024,6,872665825
DE,2024,7,770361878
DE,2024,8,896651532
DE,2024,9,727045358
DE,2024,10,859369007
DE,2024,11,704977318
DE,2024,12,452124987
ES,2023,6,607790069
ES,2023,7,871930242
ES,2023,8,967860767
ES,2023,9,743990284
ES,2023,10,811021296
ES,2023,11,859552090
ES,2023,12,658757567
ES,2024,1,637156043
ES,2024,2,841787266
ES,2024,3,682164063
ES,2024,4,709310829
ES,2024,5,917000143
ES,2024,6,698460150
ES,2024,7,753354837
ES,2024,8,885394376
ES,2024,9,649804644
ES,2024,10,787742321
ES,2024,11,644563378
ES,2024,12,327686317
FR,2023,6,393996965
FR,2023,7,537211629
FR,2023,8,628945957
FR,2023,9,532596960
FR,2023,10,513444264
FR,2023,11,605701044
FR,2023,12,584622507
FR,2024,1,532960796
FR,2024,2,762147995
FR,2024,3,578469535
FR,2024,4,600857295
FR,2024,5,799533082
FR,2024,6,655785006
FR,2024,7,622971110
FR,2024,8,768155008
FR,2024,9,628393233
FR,2024,10,834058350
FR,2024,11,630072310
FR,2024,12,347136645
GB,2023,6,465266037
GB,2023,7,599741094
GB,2023,8,729992295
GB,2023,9,601888797
GB,2023,10,581471229
GB,2023,11,771064386
GB,2023,12,986119782
GB,2024,1,631186358
GB,2024,2,855160552
GB,2024,3,710186381
GB,2024,4,778971894
GB,2024,5,1062112995
GB,2024,6,823474017
GB,2024,7,752289054
GB,2024,8,923498613
GB,2024,9,732986357
GB,2024,10,882562484
GB,2024,11,712635407
GB,2024,12,458771527
IN,2023,6,1158434990
IN,2023,7,1469882869
IN,2023,8,1955948288
IN,2023,9,1595326992
IN,2023,10,1524001205
IN,2023,11,1733106648
IN,2023,12,1487634705
IN,2024,1,1366023063
IN,2024,2,1689390757
IN,2024,3,1289239379
IN,2024,4,1292192903
IN,2024,5,1655794713
IN,2024,6,1371145101
IN,2024,7,1401883921
IN,2024,8,1760902208
IN,2024,9,1502614217
IN,2024,10,1980815822
IN,2024,11,1579987397
IN,2024,12,386792691
JP,2023,6,343524871
JP,2023,7,460529631
JP,2023,8,557963582
JP,2023,9,450233409
JP,2023,10,464796651
JP,2023,11,589789519
JP,2023,12,491915692
JP,2024,1,482952294
JP,2024,2,610739469
JP,2024,3,498443872
JP,2024,4,525909202
JP,2024,5,672454086
JP,2024,6,537371374
JP,2024,7,537221669
JP,2024,8,650193748
JP,2024,9,508597610
JP,2024,10,641851249
JP,2024,11,524738121
JP,2024,12,264854477
KR,2023,6,39530038
KR,2023,7,58802035
KR,2023,8,65227683
KR,2023,9,49385639
KR,2023,10,51419775
KR,2023,11,84006715
KR,2023,12,62340506
KR,2024,1,55445541
KR,2024,2,64881739
KR,2024,3,52766716
KR,2024,4,56193953
KR,2024,5,74239563
KR,2024,6,64590979
KR,2024,7,65374315
KR,2024,8,78029329
KR,2024,9,62102807
KR,2024,10,90077750
KR,2024,11,80954044
KR,2024,12,40847628
MX,2023,6,1532560944
MX,2023,7,2038568088
MX,2023,8,2342133138
MX,2023,9,1979486234
MX,2023,10,2068925117
MX,2023,11,2555665063
MX,2023,12,2174936412
MX,2024,1,2252676049
MX,2024,2,2798417901
MX,2024,3,2193981087
MX,2024,4,2201045672
MX,2024,5,2701189841
MX,2024,6,2076207734
MX,2024,7,1920152331
MX,2024,8,2465026984
MX,2024,9,2167538766
MX,2024,10,2860162338
MX,2024,11,2327612445
MX,2024,12,590337910
SE,2023,6,176080400
SE,2023,7,205370297
SE,2023,8,219948484
SE,2023,9,176587859
SE,2023,10,176626865
SE,2023,11,229084713
SE,2023,12,278862294
SE,2024,1,185346666
SE,2024,2,266749718
SE,2024,3,250445964
SE,2024,4,234813108
SE,2024,5,328774790
SE,2024,6,269367866
SE,2024,7,226947531
SE,2024,8,202799779
SE,2024,9,200887122
SE,2024,10,244610349
SE,2024,11,189637267
SE,2024,12,123618018
TH,2023,6,171849603
TH,2023,7,242499676
TH,2023,8,336095519
TH,2023,9,274335721
TH,2023,10,270955989
TH,2023,11,324476089
TH,2023,12,262981068
TH,2024,1,265650450
TH,2024,2,354274757
TH,2024,3,285879583
TH,2024,4,281601672
TH,2024,5,364898192
TH,2024,6,321924549
TH,2024,7,365765018
TH,2024,8,433491260
TH,2024,9,348903246
TH,2024,10,441565879
TH,2024,11,358729476
TH,2024,12,176892330
US,2023,6,1838004368
US,2023,7,2664836459
US,2023,8,3417377049
US,2023,9,2748196917
US,2023,10,2717353028
US,2023,11,3432505723
US,2023,12,3307641751
US,2024,1,2650123069
US,2024,2,3695936835
US,2024,3,3100057586
US,2024,4,3678157632
US,2024,5,4929485372
US,2024,6,3657589518
US,2024,7,3401570559
US,2024,8,4105962260
US,2024,9,3145105673
US,2024,10,3805893005
US,2024,11,3174338563
US,2024,12,1861161737
VN,2023,6,103977513
VN,2023,7,147336415
VN,2023,8,207083633
VN,2023,9,166369257
VN,2023,10,181897215
VN,2023,11,236500045
VN,2023,12,198830424
VN,2024,1,216564236
VN,2024,2,243808744
VN,2024,3,200558944
VN,2024,4,186792677
VN,2024,5,215836744
VN,2024,6,187374064
VN,2024,7,204718945
VN,2024,8,269414569
VN,2024,9,228608402
VN,2024,10,331602624
VN,2024,11,257615817
VN,2024,12,147537866
ZA,2023,6,51792372
ZA,2023,7,65689655
ZA,2023,8,92609861
ZA,2023,9,77684252
ZA,2023,10,86631793
ZA,2023,11,104033461
ZA,2023,12,111330538
ZA,2024,1,93870774
ZA,2024,2,109151645
ZA,2024,3,95289115
ZA,2024,4,96565547
ZA,2024,5,133573312
ZA,2024,6,105721296
ZA,2024,7,103677028
ZA,2024,8,137522482
ZA,2024,9,112917002
ZA,2024,10,154692325
ZA,2024,11,129855852
ZA,2024,12,68274863
