country,total_streams,top_10_streams,top_10_share
AU,8843919025,1338098309,15.13
BR,34924183351,5252355662,15.04
DE,14723259179,2244607726,15.25
ES,14055326682,2573467576,18.31
FR,11557059691,1765075562,15.27
GB,14059379259,2262054014,16.09
IN,28201117869,4307674664,15.27
JP,9814080526,1505985088,15.35
KR,1196216755,312403657,26.12
MX,41246624054,6902319397,16.73
SE,4186559090,655312036,15.65
TH,5882770077,1519106741,25.82
US,61331297104,9132358048,14.89
VN,3932428134,844610379,21.48
ZA,1930883173,310558697,16.08
